Date,SAS Date,Wednesday?,CatACOE,CatAQuota,CatABids,CatBCOE,CatBQuota,CatBBids,CatECOE,CatEQuota,CatEBids,A_bids/Quota,B_bids/Quota,E_bids/Quota
2002-03-15,2002-03-16,2002-03-20,33201,1468,2800,34200,651,1052,34501,817,1594,1.907356948,1.615975422,1.951040392
2002-04-01,2002-04-01,2002-04-03,37201,1110,2484,39509,558,1119,41001,682,1797,2.237837838,2.005376344,2.634897361
2002-04-15,2002-04-16,2002-04-17,36000,1149,1890,42101,553,1104,42043,754,1407,1.644908616,1.996383363,1.866047745
2002-05-01,2002-05-01,2002-05-08,35000,1128,1705,40001,560,1043,40001,960,1880,1.511524823,1.8625,1.958333333
2002-05-15,2002-05-16,2002-05-22,33401,1111,1320,38001,552,894,38399,910,1835,1.188118812,1.619565217,2.016483516
2002-06-01,2002-06-01,2002-06-05,33009,1111,1382,33001,595,885,34397,939,1777,1.243924392,1.487394958,1.892438765
2002-06-15,2002-06-16,2002-06-19,30281,1141,1382,32499,563,888,32511,942,1825,1.21121823,1.577264654,1.937367304
2002-07-01,2002-07-01,2002-07-03,31407,1116,1890,31583,579,946,32356,910,1549,1.693548387,1.633851468,1.702197802
2002-07-15,2002-07-16,2002-07-17,30797,1118,1647,30008,561,850,30501,910,1242,1.473166369,1.515151515,1.364835165
2002-08-01,2002-08-01,2002-08-07,30289,1118,1640,31889,555,1149,31899,916,1370,1.466905188,2.07027027,1.495633188
2002-08-15,2002-08-16,2002-08-21,31289,1110,1480,32001,560,873,32001,914,1386,1.333333333,1.558928571,1.516411379
2002-09-01,2002-09-01,2002-09-04,30501,1113,1337,31617,553,715,31493,926,1321,1.201257862,1.292947559,1.426565875
2002-09-15,2002-09-16,2002-09-18,28409,1120,1286,28009,569,756,29499,936,1438,1.148214286,1.328646749,1.536324786
2002-10-01,2002-10-01,2002-10-09,31334,1115,1889,31795,553,917,30989,917,1501,1.694170404,1.658227848,1.636859324
2002-10-15,2002-10-16,2002-10-23,30758,1112,1624,30811,552,850,30801,910,1377,1.460431655,1.539855072,1.513186813
2002-11-01,2002-11-01,2002-11-06,29113,1346,1724,27667,663,866,27999,1097,1663,1.280832095,1.306184012,1.515952598
2002-11-15,2002-11-16,2002-11-20,29008,1334,1942,28001,663,879,28005,1095,1445,1.455772114,1.325791855,1.319634703
2002-12-01,2002-12-01,2002-12-04,28501,1332,1851,27289,663,822,28487,1105,1477,1.38963964,1.239819005,1.336651584
2002-12-15,2002-12-16,2002-12-18,26993,1338,1546,23890,728,977,27119,1091,1501,1.155455904,1.342032967,1.375802016
2003-01-01,2003-01-01,2003-01-08,28489,1342,2153,29099,707,1128,29001,1094,1645,1.604321908,1.595473833,1.503656307
2003-01-15,2003-01-16,2003-01-22,26499,1333,1651,25028,662,919,27416,1099,1515,1.23855964,1.388217523,1.378525933
2003-02-01,2003-02-01,2003-02-05,31003,1339,2405,33657,663,1342,33901,1090,1906,1.796116505,2.02413273,1.748623853
2003-02-15,2003-02-16,2003-02-19,29999,1340,2251,30699,663,1148,30100,1090,1517,1.679850746,1.731523379,1.391743119
2003-03-01,2003-03-01,2003-03-05,28308,1332,1990,27999,670,965,27000,1090,1523,1.493993994,1.440298507,1.397247706
2003-03-15,2003-03-16,2003-03-19,26999,1337,1923,26001,666,944,25501,1096,1676,1.43829469,1.417417417,1.52919708
2003-04-01,2003-04-01,2003-04-09,27497,1473,2816,26601,919,1790,27501,946,1535,1.911744739,1.947769314,1.622621564
2003-04-15,2003-04-16,2003-04-23,28054,1474,2728,27058,938,1762,28109,898,1471,1.850746269,1.878464819,1.638084633
2003-05-01,2003-05-01,2003-05-07,29299,1479,3284,28589,914,1788,29538,891,1320,2.220419202,1.956236324,1.481481481
2003-05-15,2003-05-16,2003-05-21,31095,1471,2621,31400,915,1592,31800,888,1478,1.781781101,1.73989071,1.664414414
2003-06-01,2003-06-01,2003-06-04,31799,1470,2388,31501,913,1448,32597,887,1417,1.624489796,1.585980285,1.597519729
2003-06-15,2003-06-16,2003-06-18,31440,1478,2267,31505,914,1281,32000,890,1328,1.533829499,1.401531729,1.492134831
2003-07-01,2003-07-01,2003-07-09,32079,1471,2341,32779,917,1359,32799,898,1379,1.591434398,1.482006543,1.535634744
2003-07-15,2003-07-16,2003-07-23,31501,1477,1881,31889,918,1209,32593,898,1337,1.27352742,1.316993464,1.488864143
2003-08-01,2003-08-01,2003-08-06,30497,1479,1828,31001,912,1159,31889,892,1401,1.23597025,1.270833333,1.570627803
2003-08-15,2003-08-16,2003-08-20,30989,1477,1773,29900,945,1171,30099,894,1312,1.200406229,1.239153439,1.467561521
2003-09-01,2003-09-01,2003-09-03,25011,1479,1611,28001,919,1163,29000,891,1358,1.089249493,1.265505985,1.524130191
2003-09-15,2003-09-16,2003-09-17,30629,1473,2798,30048,915,1344,30589,889,1345,1.899524779,1.468852459,1.512935883
2003-10-01,2003-10-01,2003-10-08,28915,1914,3039,28199,1175,1565,28997,1167,1594,1.587774295,1.331914894,1.365895458
2003-10-15,2003-10-16,2003-10-22,28300,1925,2558,27989,1163,1374,27900,1154,1551,1.328831169,1.181427343,1.344020797
2003-11-01,2003-11-01,2003-11-05,26338,1921,2106,26001,1160,1368,26700,1172,1690,1.096304008,1.179310345,1.441979522
2003-11-15,2003-11-16,2003-11-19,26725,1911,2315,25481,1157,1344,26999,1155,1495,1.21140764,1.161624892,1.294372294
